,place,latitude,longitude
108,"Marion, IN, USA",40.55648,-85.68277
109,"Kokomo, IN, USA",40.481205,-86.141815
110,"Jeffersonville, IN, USA",38.279888,-85.740524
111,"Greenfield, IN, USA",39.790737,-85.782951
112,"Goshen, IN, USA",41.582092,-85.842979
113,"Elwood, IN, USA",40.279053,-85.844749
114,"East Chicago, IN, USA",41.649212,-87.472565
115,"Crawfordsville, IN, USA",40.044075,-86.911057
116,"Connersville, IN, USA",39.653687,-85.147896
117,"Bloomington, IN, USA",39.168804,-86.536659
118,"Bedford, IN, USA",38.866512,-86.511833
119,"Zion, IL, USA",42.450806,-87.845978
120,"Wood River, IL, USA",38.864758,-90.102638
121,"Wheaton, IL, USA",41.860985,-88.124168
122,"Waukegan, IL, USA",42.365627,-87.872139
123,"Virden, IL, USA",39.501575,-89.772629
124,"Vandalia, IL, USA",38.970127,-89.115585
125,"Urbana, IL, USA",40.113159,-88.211105
126,"Streator, IL, USA",41.13052,-88.844597
127,"Shawneetown, IL, USA",37.717564,-88.18988
128,"Rock Island, IL, USA",41.487076,-90.589691
129,"Quincy, IL, USA",39.93549,-91.408241
130,"Pontiac, IL, USA",40.880894,-88.642799
131,"Petersburg, IL, USA",40.014156,-89.855278
132,"Park Ridge, IL, USA",42.017452,-87.861786
133,"Ottawa, IL, USA",41.345505,-88.848846
134,"North Chicago, IL, USA",42.326439,-87.851089
135,"Nauvoo, IL, USA",40.54789,-91.390503
136,"Mount Vernon, IL, USA",38.319221,-88.925255
137,"Monmouth, IL, USA",40.915249,-90.654694
138,"Mattoon, IL, USA",39.485355,-88.390404
139,"Macomb, IL, USA",40.458427,-90.677963
140,"Lake Forest, IL, USA",42.245686,-87.867012
141,"La Salle, IL, USA",41.362553,-89.065414
142,"Kewanee, IL, USA",41.243195,-89.93824
143,"Kankakee, IL, USA",41.123634,-87.872742
144,"Herrin, IL, USA",37.805065,-89.038292
145,"Harrisburg, IL, USA",37.736668,-88.559456
146,"Galena, IL, USA",42.420296,-90.4356
147,"Freeport, IL, USA",42.289551,-89.647018
148,"East Saint Louis, IL, USA",38.616405,-90.159821
149,"East Moline, IL, USA",41.511295,-90.460213
150,"Dixon, IL, USA",41.845261,-89.491661
151,"DeKalb, IL, USA",41.93037,-88.757355
152,"Danville, IL, USA",40.144653,-87.634216
153,"Collinsville, IL, USA",38.675953,-90.003471
154,"Chicago Heights, IL, USA",41.510395,-87.644287
155,"Chester, IL, USA",37.915825,-89.829262
156,"Arkansas City, KS, USA",37.069611,-97.05072
157,"Charleston, IL, USA",39.491936,-88.185867
158,"Centralia, IL, USA",38.530453,-89.141502
159,"Carthage, IL, USA",40.41478,-91.141708
160,"Carlinville, IL, USA",39.28056,-89.890327
161,"Canton, IL, USA",40.560329,-90.046028
162,"Calumet City, IL, USA",41.611603,-87.551186
163,"Cairo, IL, USA",37.007828,-89.184265
164,"Bloomington, IL, USA",40.478821,-88.992706
165,"Belvidere, IL, USA",42.259529,-88.865211
166,"Alton, IL, USA",38.908852,-90.169662
167,"Sun Valley, ID, USA",43.697662,-114.352829
168,"Rexburg, ID, USA",43.825386,-111.792824
169,"Pocatello, ID, USA",42.880363,-112.452911
170,"Lewiston, ID, USA",46.392014,-117.010826
171,"Kellogg, ID, USA",47.538658,-116.129227
172,"Coeur d’Alene, ID, USA",47.702465,-116.796883
173,"Caldwell, ID, USA",43.661766,-116.691559
174,"Bonners Ferry, ID, USA",48.692551,-116.319862
175,"Blackfoot, ID, USA",43.195194,-112.35453
176,"Washington, GA, USA",33.740253,-82.745857
177,"Warner Robins, GA, USA",32.615692,-83.633667
178,"Toccoa, GA, USA",34.578903,-83.331581
179,"Plains, GA, USA",32.033638,-84.398224
180,"Gainesville, GA, USA",34.298409,-83.832855
181,"Fort Valley, GA, USA",32.559334,-83.904587
182,"Fitzgerald, GA, USA",31.717707,-83.262657
183,"Douglas, GA, USA",31.504131,-82.86779
184,"Darien, GA, USA",31.375116,-81.436729
185,"Dalton, GA, USA",34.775517,-84.986244
186,"Carrollton, GA, USA",33.584045,-85.10112
187,"Brunswick, GA, USA",31.164404,-81.5056
188,"Blairsville, GA, USA",34.878166,-83.961349
189,"Bainbridge, GA, USA",30.903612,-84.585205
190,"Americus, GA, USA",32.072433,-84.233978
191,"Winter Park, FL, USA",28.598797,-81.358315
192,"Venice, FL, USA",27.109644,-82.448792
193,"Sebring, FL, USA",27.479319,-81.456017
194,"Saint Augustine, FL, USA",29.908072,-81.324791
195,"New Smyrna Beach, FL, USA",29.036013,-80.964966
196,"Melbourne, FL, USA",28.118488,-80.670372
197,"Lake City, FL, USA",30.189375,-82.648254
198,"Hallandale Beach, FL, USA",25.987219,-80.153206
199,"Fort Pierce, FL, USA",27.450266,-80.339951
200,"Delray Beach, FL, USA",26.459763,-80.105545
201,"Rockledge, FL, USA",28.316528,-80.74659
202,"Boca Raton, FL, USA",26.376032,-80.12236
203,"New Castle, DE, USA",39.668564,-75.586189
204,"Milford, DE, USA",38.917534,-75.441925
205,"Lewes, DE, USA",38.781082,-75.15715
206,"Roswell, NM, USA",33.400322,-104.534897
207,"West Haven, CT, USA",41.275898,-72.975739
208,"Torrington, CT, USA",41.806595,-73.130592
209,"Shelton, CT, USA",41.306583,-73.143768
210,"Norwalk, CT, USA",41.12188,-73.436432
211,"New Britain, CT, USA",41.681408,-72.794746
212,"Middletown, CT, USA",41.562794,-72.68161
213,"Belle Glade, FL, USA",26.687412,-80.681831
214,"Bartow, FL, USA",27.891005,-81.847359
215,"Atlantic City, NJ, USA",39.370121,-74.438942
216,"Albany, GA, USA",31.594915,-84.224236
217,"Jacksonville, IL, USA",39.74155,-90.256218
218,"Idaho City, ID, USA",43.82885,-115.83786
219,"Coral Gables, FL, USA",25.750156,-80.27964
220,"Derby, CT, USA",41.329334,-73.094406
221,"Bristol, CT, USA",41.685173,-72.962708
222,"Ansonia, CT, USA",41.346439,-73.084938
223,"Walsenburg, CO, USA",37.630322,-104.790543
224,"Sterling, CO, USA",40.626743,-103.217026
225,"Steamboat Springs, CO, USA",40.490429,-106.842384
226,"Ouray, CO, USA",38.025131,-107.67588
227,"Leadville, CO, USA",39.247478,-106.300194
228,"Gunnison, CO, USA",38.547871,-106.938622
229,"Fort Morgan, CO, USA",40.255306,-103.803062
230,"Panama City, FL, USA",30.193626,-85.683029
231,"Miami Beach, FL, USA",25.793449,-80.139198
232,"Cripple Creek, CO, USA",38.749077,-105.18306
233,"Central City, CO, USA",39.803318,-105.51683
234,"Cañon City, CO, USA",38.444931,-105.24572
235,"Brighton, CO, USA",39.969753,-104.836723
236,"Stuttgart, AR, USA",34.497196,-91.560921
237,"Osceola, AR, USA",35.705608,-89.992729
238,"Newport, AR, USA",35.618671,-91.271286
239,"Forrest City, AR, USA",35.010712,-90.797783
240,"Crossett, AR, USA",33.132671,-91.971634
241,"Camden, AR, USA",33.586617,-92.842979
242,"Blytheville, AR, USA",35.934574,-89.92617
243,"Window Rock, AZ, USA",35.67897,-109.067413
244,"Globe, AZ, USA",33.395844,-110.793739
245,"Tuskegee, AL, USA",32.429066,-85.715233
246,"Troy, AL, USA",31.806484,-85.968628
247,"Scottsboro, AL, USA",34.650826,-86.088501
248,"Ozark, AL, USA",31.463181,-85.647202
249,"Waukesha, WI, USA",43.0186,-88.259773
250,"Jasper, AL, USA",33.834263,-87.280708
251,"Guntersville, AL, USA",34.361664,-86.305595
252,"Eufaula, AL, USA",31.89818,-85.16021
253,"Enterprise, AL, USA",31.335653,-85.865448
254,"Demopolis, AL, USA",32.510178,-87.855392
255,"Atmore, AL, USA",31.025837,-87.506462
256,"Alexander City, AL, USA",32.940945,-85.970024
257,"Whittier, CA, USA",33.982506,-118.040962
258,"South San Francisco, CA, USA",37.662937,-122.433014
259,"Sausalito, CA, USA",37.865894,-122.498055
260,"San Rafael, CA, USA",37.986076,-122.534752
261,"San Marino, CA, USA",34.1213,-118.132607
262,"San Luis Obispo, CA, USA",35.270378,-120.680656
263,"Ojai, CA, USA",34.456936,-119.25444
264,"Merced, CA, USA",37.325954,-120.499992
265,"Marysville, CA, USA",39.152321,-121.593994
266,"Martinez, CA, USA",37.997417,-122.133598
267,"Malibu, CA, USA",34.031246,-118.788193
268,"Lodi, CA, USA",38.130123,-121.290443
269,"Garden Grove, CA, USA",33.785645,-117.97348
270,"Eureka, CA, USA",40.785114,-124.183922
271,"Culver City, CA, USA",34.010124,-118.415016
272,"Coronado, CA, USA",32.631718,-117.136772
273,"Claremont, CA, USA",34.132236,-117.739929
274,"Buena Park, CA, USA",33.8689,-118.012741
275,"Belmont, CA, USA",37.524174,-122.304199
276,"Watervliet, NY, USA",42.729637,-73.708778
277,"Utica, NY, USA",43.107204,-75.252312
278,"Troy, NY, USA",42.728104,-73.687576
279,"Fairfield, IA, USA",41.00695,-91.973419
280,"Tonawanda, NY, USA",43.01519,-78.891663
281,"Schenectady, NY, USA",42.813297,-73.941177
282,"Saratoga Springs, NY, USA",43.083313,-73.809898
283,"Rye, NY, USA",40.981613,-73.691925
284,"Rome, NY, USA",43.227978,-75.484924
285,"Rensselaer, NY, USA",42.644516,-73.747253
286,"Plattsburgh, NY, USA",44.699764,-73.471428
287,"Peekskill, NY, USA",41.292282,-73.930725
288,"Oneida, NY, USA",43.095654,-75.669487
289,"New Rochelle, NY, USA",40.922794,-73.791809
290,"Mount Vernon, NY, USA",40.916695,-73.836815
291,"Middletown, NY, USA",41.450123,-74.429253
292,"Lockport, NY, USA",43.170048,-78.710464
293,"Lackawanna, NY, USA",42.820339,-78.843399
294,"Kingston, NY, USA",41.931828,-74.011108
295,"Johnstown, NY, USA",43.010265,-74.383682
296,"Gloversville, NY, USA",43.052845,-74.363762
297,"Glens Falls, NY, USA",43.311825,-73.655975
298,"Geneva, NY, USA",42.868473,-76.99649
299,"Dunkirk, NY, USA",42.481365,-79.343887
300,"Cortland, NY, USA",42.604729,-76.18737
301,"Corning, NY, USA",42.148773,-77.062103
302,"Cohoes, NY, USA",42.774475,-73.708412
303,"South Lake Tahoe, CA, USA",38.936604,-119.986649
304,"Binghamton, NY, USA",42.098843,-75.920647
305,"Amsterdam, NY, USA",42.940933,-74.200806
306,"Mason, OH, USA",39.36834,-84.32959
307,"Carpinteria, CA, USA",34.395958,-119.521042
308,"Madeira Beach, FL, USA",27.798244,-82.798462
309,"Hoboken, NJ, USA",40.745255,-74.034775
310,"Port Hueneme, CA, the US",34.155834,-119.202789
311,"Auburn, NY, USA",42.933334,-76.566666
312,"Jamestown, NY, the US",42.095554,-79.238609
313,"Fulton, MO, USA",38.846668,-91.948059
314,"Bedford, OH, the US",41.392502,-81.534447
315,"Stuart, FL, USA",27.192223,-80.243057
316,"San Angelo, TX, USA",31.442778,-100.450279
317,"Woodbridge, NJ, USA",40.560001,-74.290001
318,"Vista, CA, USA",33.193611,-117.241112
319,"South Bend, IN, USA",41.676388,-86.250275
320,"Davenport, IA, USA",41.543056,-90.590836
321,"Sparks, NV, USA",39.554443,-119.735558
322,"Green Bay, WI, the US",44.513332,-88.015831
323,"San Mateo, CA, USA",37.554169,-122.313057
324,"Tyler, TX, USA",32.349998,-95.300003
325,"League City, TX, USA",29.499722,-95.089722
326,"Lewisville, TX, USA",33.038334,-97.006111
327,"Meridian, ID, USA",43.614166,-116.398888
328,"Waterbury, CT, USA",41.55611,-73.041389
329,"Jurupa Valley, CA, USA",34.0,-117.48333
330,"West Palm Beach, FL, USA",26.709723,-80.064163
331,"Antioch, CA, USA",38.005001,-121.805832
332,"High Point, NC, USA",35.970554,-79.997498
333,"Miami Gardens, FL, USA",25.942122,-80.26992
334,"Murrieta, CA, USA",33.569443,-117.202499
335,"Springfield, IL, USA",39.799999,-89.650002
336,"El Monte, CA, USA",34.073334,-118.027496
337,"West Jordan, UT, USA",40.606388,-111.976112
338,"College Station, TX, USA",30.601389,-96.314445
339,"Fairfield, CA, USA",38.257778,-122.054169
340,"Evansville, IN, USA",37.977222,-87.550552
341,"Cambridge, MA, USA",42.373611,-71.110558
342,"Richardson, TX, USA",32.965557,-96.715836
343,"Berkeley, CA, USA",37.871666,-122.272781
344,"Columbia, MO, USA",38.951561,-92.328636
345,"Athens, GA, USA",33.950001,-83.383331
346,"Lafayette, LA, USA",30.216667,-92.033333
347,"Sterling Heights, MI, USA",42.580276,-83.030281
348,"Visalia, CA, USA",36.316666,-119.300003
349,"Hampton, VA, USA",37.034946,-76.360123
350,"West Valley City, UT, USA",40.689167,-111.993889
351,"Surprise, AZ, USA",33.630554,-112.366669
352,"Thornton, CO, USA",39.903057,-104.954445
353,"Miramar, FL, USA",25.978889,-80.282501
354,"Murfreesboro, TN, USA",35.846111,-86.391945
355,"Pasadena, CA, USA",34.156113,-118.131943
356,"Bridgeport, CT, USA",41.18639,-73.195557
357,"Paterson, NJ, USA",40.914745,-74.162827
358,"Rockford, Il, the US",42.259445,-89.064445
359,"Joliet, Illinois, USA",41.520557,-88.150558
360,"Escondido, CA, USA",33.124722,-117.080833
361,"Kansas City, KS, USA",39.106667,-94.676392
362,"Springfield, MA, USA",42.101391,-72.590279
363,"Springfield, MO, USA",37.210388,-93.297256
364,"Corona, CA, USA",33.866669,-117.566666
365,"Pembroke Pines, FL, USA",26.012501,-80.313614
366,"Elk Grove, CA, USA",38.438332,-121.381943
367,"Oceanside, CA, the US",33.211666,-117.325836
368,"Newport News, VA, USA",37.070831,-76.484444
369,"Sioux Falls, South Dakota, the US",43.536388,-96.731667
370,"Vancouver, WA, USA",45.633331,-122.599998
371,"Worcester, MA, USA",42.271389,-71.798889
372,"Tallahassee, FL, USA",30.455,-84.253334
373,"Columbus, GA, USA",32.492222,-84.940277
374,"Augusta, GA, USA",33.466667,-81.966667
375,"Montgomery, AL, USA",32.361668,-86.279167
376,"Aurora, IL, USA",41.763889,-88.290001
377,"Amarillo, TX, USA",35.199165,-101.845276
378,"Modesto, CA, USA",37.661388,-120.994446
379,"Garland, TX, USA",32.907223,-96.635277
380,"Irvine, CA, the US",33.669445,-117.823059
381,"Aurora, CO, USA",39.710835,-104.8125
382,"Arlington, TX, USA",32.705002,-97.12278
383,"Kansas City, MO, USA",39.099724,-94.578331
384,"Memphis, TN, USA",35.1175,-89.971107
385,"Indianapolis, IN, USA",39.791,-86.148003
386,"Columbus, OH, USA",39.983334,-82.98333
387,"Austin, TX, the US",30.266666,-97.73333
388,"Dallas, TX, the US",32.779167,-96.808891
389,"Redwood City, CA, USA",37.487846,-122.236115
390,"Gastonia, NC, the USA",35.25528,-81.180275
391,"New Braunfels, TX, the USA",29.700001,-98.116669
392,"Palm Beach Gardens, FL, USA",26.838619,-80.129967
393,"Forestville, CA, USA",38.473625,-122.889992
394,"Houston, TX, USA",29.749907,-95.358421
395,"Muncie, IN, USA",40.191891,-85.401695
396,"Palm Springs, CA, USA",33.830517,-116.545601
397,"Hot Springs, AR, USA",34.496212,-93.05722
398,"Hackett, AR, USA",35.188503,-94.412239
399,"Richmond, VA, USA",37.54129,-77.434769
400,"Fayetteville, AR, USA",36.082157,-94.171852
401,"Yuma, AZ, USA",32.698437,-114.650398
402,"Peoria, AZ, USA",33.580944,-112.237068
403,"Tempe, AZ, USA",33.427204,-111.939896
404,"Diamond Bar, CA, USA",34.028622,-117.810333
405,"Auburn, AL, USA",32.609856,-85.480782
406,"Hoover, AL, USA",33.405746,-86.811546
407,"Decatur, AL, USA",34.603817,-86.985039
408,"Bloomington, MN, USA",44.840797,-93.298279
409,"Milledgeville, GA, USA",33.080929,-83.228668
410,"Fargo, ND, USA",46.877186,-96.789803
411,"Odessa, TX, USA",31.845682,-102.367645
412,"Orangeburg, SC, USA",33.493317,-80.855415
413,"Rogers, AR, USA",36.333412,-94.125809
414,"DeLand, FL, USA",29.028318,-81.303116
415,"McAllen, TX, USA",26.203407,-98.230011
416,"Foster, RI, USA",41.85371,-71.758125
417,"Mannford, OK, USA",36.133411,-96.354454
418,"Springfield, OH, USA",39.925751,-83.806694
419,"Pasadena, TX, USA",29.691063,-95.209099
420,"Lake Worth, FL, USA",26.616756,-80.068451
421,"Novi, MI, USA",42.480591,-83.475494
422,"Rochester, MN, USA",44.016369,-92.475395
423,"London, KY, USA",37.129986,-84.084122
424,"Sturgis, South Dakota, USA",44.409706,-103.509079
425,"Mandeville, LA, USA",30.358252,-90.065628
426,"Mt Sterling, KY, USA",38.056469,-83.943253
427,"Santa Clarita, CA, USA",34.391663,-118.542587
428,"Overland Park, KS, USA",38.984764,-94.677658
429,"St Cloud, MN, USA",45.56023,-94.172852
430,"Sanford, NC, USA",35.479961,-79.18058
431,"Sanford, FL, USA",28.807674,-81.274948
432,"Albany, OR, USA",44.636513,-123.105927
433,"Santee, CA, USA",32.838383,-116.973915
434,"Bay Point, CA, USA",38.033878,-121.960709
435,"Longmont, CO, USA",40.167206,-105.101929
436,"Issaquah, WA, USA",47.530102,-122.032616
437,"Akron, OH, USA",41.081757,-81.511452
438,"Hammond, IN, USA",41.58466,-87.50016
439,"Youngstown, OH, USA",41.10297,-80.647247
440,"Hugo, MN, USA",45.159966,-92.99334
441,"Yorba Linda, CA, USA",33.888504,-117.813255
442,"Rapid City, SD, USA",44.080544,-103.231018
443,"Hillsboro, OR, USA",45.522896,-122.98983
444,"Elkhart, IN, USA",41.681992,-85.976669
445,"Providence, RI, USA",41.825226,-71.418884
446,"Rancho Cucamonga, CA, USA",34.110489,-117.594429
447,"Orange, CA, USA",33.787914,-117.853104
448,"Madison, WI, USA",43.073051,-89.40123
449,"Yonkers, NY, USA",40.93121,-73.89875
450,"Indio, CA, USA",33.720577,-116.215561
451,"Jersey City, NJ, USA",40.719074,-74.050552
452,"Bradenton, FL, USA",27.498928,-82.574821
453,"South Burlington, VT, USA",44.466995,-73.170959
454,"Long Beach, CA, USA",33.77005,-118.193741
455,"Greenville, NC, USA",35.612659,-77.366356
456,"Edison, NJ, USA",40.522964,-74.411674
457,"Jonesboro, AR, USA",35.835575,-90.705025
458,"Turrell, AR, USA",35.379807,-90.257874
459,"Racine, WI, USA",42.722702,-87.784225
460,"Las Cruces, NM, USA",32.346596,-106.78772
461,"Alameda, CA, USA",37.765205,-122.241638
462,"Walnut Creek, CA, USA",37.910076,-122.065186
463,"Naples, FL, USA",26.177624,-81.806946
464,"Temecula, CA, USA",33.487007,-117.143784
465,"Bozeman, MT, USA",45.676998,-111.042931
466,"Eastlake, OH, USA",41.653934,-81.450394
467,"Yakima, WA, USA",46.60207,-120.505898
468,"Dunedin, FL, USA",28.018349,-82.764473
469,"St Paul, MN, USA",44.949642,-93.093124
470,"St. Augustine, FL, USA",29.901243,-81.312431
471,"Kent, WA, USA",47.380932,-122.23484
472,"Dearborn Heights, MI, USA",42.336983,-83.273262
473,"Chester, SC, USA",34.704929,-81.210251
474,"Muskegon, MI, USA",43.224194,-86.235809
475,"Hesperia, CA, USA",34.426388,-117.30088
476,"Oakland, CA, USA",37.804363,-122.271111
477,"Lancaster, CA, USA",34.686787,-118.15416
478,"Homestead, FL, USA",25.468721,-80.477554
479,"Norfolk, VA, USA",36.850769,-76.285873
480,"Santa Cruz, CA, USA",36.974117,-122.030792
481,"Daly City, CA, USA",37.687923,-122.470207
482,"Newport, RI, USA",41.490578,-71.310196
483,"Santa Barbara, CA, USA",34.42083,-119.698189
484,"Cheektowaga, NY, USA",42.902615,-78.744576
485,"Eldorado Springs, CO, USA",39.932117,-105.281639
486,"Twin Falls, Idaho, USA",42.562786,-114.460503
487,"Huntington, WV, USA",38.413651,-82.446732
488,"Decatur, IL, USA",39.842468,-88.953148
489,"Beverly Hills, CA, USA",34.07362,-118.400352
490,"Danbury, CT, USA",41.394966,-73.454079
491,"Des Moines, Iowa, USA",41.619549,-93.598022
492,"New Haven, CT, USA",41.308273,-72.927887
493,"Nampa, Idaho, USA",43.565468,-116.560822
494,"New Iberia, LA, USA",30.005417,-91.818665
495,"Wilkes-Barre, PA, USA",41.245708,-75.881241
496,"Petersburg, VA, USA",37.227928,-77.401924
497,"Grand Rapids, MI, USA",42.963795,-85.670006
498,"Lexington, Kentucky, US",38.047989,-84.50164
499,"Hamden, CT, USA",41.385826,-72.904243
500,"Moscow, Idaho, USA",46.731705,-116.999939
501,"Pine Bluff, AR, USA",34.2244,-92.019211
502,"Bellevue, WA, USA",47.610378,-122.200676
503,"Lynchburg, VA, USA",37.412762,-79.146042
504,"Dover, DE, USA",39.161079,-75.525681
505,"Tuba City, Arizona, USA",36.136906,-111.240173
506,"Medford, OR, USA",42.326515,-122.875595
507,"Franklin, TN, USA",35.925064,-86.868889
508,"Portland, OR, USA",45.523064,-122.676483
509,"Philadelphia, PA, USA",39.952583,-75.165222
510,"Miami, FL, USA",25.761681,-80.191788
511,"Boston, MA, USA",42.361145,-71.057083
512,"Phoenix, AZ, USA",33.448376,-112.074036
513,"Erie, PA, USA",42.129223,-80.08506
514,"Victorville, CA, USA",34.536217,-117.292763
515,"Wilmington, DE, USA",39.739071,-75.539787
516,"Fontana, CA, USA",34.092232,-117.435051
517,"Jacksonville, FL, USA",30.332184,-81.655647
518,"Soulsbyville, CA, USA",37.984646,-120.263802
519,"Corvallis, OR, USA",44.564568,-123.262047
520,"Lincoln, IL, USA",40.148376,-89.364815
521,"Des Plaines, IL, USA",42.033363,-87.8834
522,"Richmond, CA, USA",37.935757,-122.347748
523,"Grifton, NC, USA",35.372662,-77.437462
524,"Redmond, WA, USA",47.673988,-122.121513
525,"San Leandro, Oakland, CA, USA",37.725685,-122.15683
526,"East Point, GA, USA",33.679554,-84.439369
527,"Russellville, AL, USA",34.501942,-87.731789
528,"Dothan, AL, USA",31.223812,-85.393356
529,"Georgetown, KY, USA",38.20443,-84.560326
530,"Tampa, FL, USA",27.964157,-82.452606
531,"Kenosha, WI, USA",42.588081,-87.822899
532,"Keene, NH, USA",42.934307,-72.283859
533,"Springfield, OR, USA",44.046204,-123.023346
534,"Revere, MA, USA",42.408428,-71.011993
535,"New Haven, CT, USA",41.310726,-72.929916
536,"Port Orange, FL, USA",29.138315,-80.995613
537,"Manhattan, KS, USA",39.183609,-96.571671
538,"Jeannette, PA, USA",40.328125,-79.615318
539,"Baldwin Park, CA, USA",34.085285,-117.960899
540,"Sandusky, OH, USA",41.450642,-82.706604
